Date,Description,Amount,Category,Cleaned_Description
2025-05-01,AMAZON MKTPLACE PMTS,-45.67,Shopping,amazon mktplace pmts
2025-05-02,LOBLAWS GROCERY,-76.12,Groceries,loblaws grocery
2025-05-03,UBER TRIP TORONTO,-18.22,Transportation,uber trip toronto
2025-05-03,SPOTIFY FAMILY PLAN,-14.99,Entertainment,spotify family plan
2025-05-04,HYDRO ONE PAYMENT,-92.4,Utilities,hydro one payment
2025-05-04,RENT PAYMENT TORONTO,-1200.0,Rent,rent payment toronto
2025-05-05,TIM HORTONS 0456,-6.2,Restaurants,tim hortons 0456
2025-05-05,PAYROLL DEPOSIT,2500.0,Income,payroll deposit
2025-05-06,NETFLIX.COM,-15.49,Entertainment,netflixcom
2025-05-07,SHELL GAS STATION,-60.0,Transportation,shell gas station
2025-05-08,BEST BUY ONLINE,-130.0,Shopping,best buy online
2025-05-09,FRESHCO MARKET,-52.3,Groceries,freshco market
2025-05-10,CINEPLEX VIP CINEMA,-27.0,Entertainment,cineplex vip cinema
2025-05-10,TRANSFER FROM SAVINGS,300.0,Income,transfer from savings
2025-05-11,HYDRO BILL PAYMENT,-110.25,Utilities,hydro bill payment
2025-05-11,UBER EATS ORDER,-22.45,Restaurants,uber eats order
2025-05-12,PAYPAL EBAY PURCHASE,-78.9,Shopping,paypal ebay purchase
2025-05-13,LCBO PURCHASE,-45.5,Entertainment,lcbo purchase
2025-05-14,CANADA POST,-12.35,Shopping,canada post
2025-05-15,WEALTHSIMPLE DEPOSIT,100.0,Income,wealthsimple deposit
